"station","line","line_id","gps_lat","gps_lon","go_lat","go_lon","baidu_lat","baidu_lon"
"上海火车站",3,13,31.2507567527,121.4529267306,31.2488949731,121.4575294013,31.255155,121.46396
"上海火车站",1,16,31.2507567527,121.4529267306,31.2488949731,121.4575294013,31.255155,121.46396
"上海火车站",4,19,31.2507567527,121.4529267306,31.2488949731,121.4575294013,31.255155,121.46396
"上海科技馆",2,15,31.221394851,121.5398645808,31.2192801854,121.5441668441,31.225524,121.550621
"上海马戏城",1,19,31.2814397622,121.4474882389,31.2795923273,121.4520909096,31.285845,121.458503
"上海南站",1,5,31.1559391974,121.4256838276,31.1540616764,121.4303133203,31.160405,121.436708
"上海南站",3,1,31.1559391974,121.4256838276,31.1540616764,121.4303133203,31.160405,121.436708
"上海汽车城",11,34,31.2872479119,121.1763162565,31.2853408818,121.1808330965,31.291581,121.18725
"上海赛车场",11,32,31.3337911387,121.2216806528,31.3318393025,121.2261331198,31.337944,121.232625
"上海体育场",4,3,31.187708762,121.439235062,31.1858318357,121.4438484615,31.19218,121.450248
"上海体育馆",1,7,31.1843318483,121.4323707364,31.1824686893,121.4370002292,31.188814,121.443402
"上海体育馆",4,2,31.1843318483,121.4323707364,31.1824686893,121.4370002292,31.188814,121.443402
"上海图书馆",10,18,31.2099530495,121.4397372044,31.2080856962,121.4443559683,31.214439,121.450771
"上海西站",11,21,31.2644558424,121.3967623331,31.2626401123,121.4014132835,31.268542,121.40794
"上海游泳馆",11,13,31.180893762,121.437013062,31.1790168357,121.4416264615,31.185365,121.448026
"上南路",6,26,31.1511968987,121.5019433655,31.1491539018,121.5063797392,31.154788,121.512956
"佘山",9,20,31.1067579198,121.2252894912,31.1046865034,121.2297097717,31.110609,121.236257
"申江路",12,2,31.2823765175,121.6230019134,31.2802127688,121.6272076171,31.285856,121.633793
"莘庄",1,1,31.1128250311,121.3803798526,31.1109237555,121.3849986165,31.116581,121.391623
"莘庄",5,1,31.1128250311,121.3803798526,31.1109237555,121.3849986165,31.116581,121.391623
"石龙路",3,2,31.159849079,121.4386241384,31.1579577863,121.4432375379,31.164304,121.44963
"世博大道",13,19,31.1844565002,121.4798800934,31.1824923808,121.484391569,31.18823,121.490937
"世博会博物馆",13,18,31.1988252229,121.4774478843,31.1968658997,121.4819593599,31.202606,121.488515
"世纪大道",4,12,31.2310224576,121.522523268,31.2289628381,121.5268952687,31.23485,121.533435
"世纪大道",2,16,31.2310224576,121.522523268,31.2289628381,121.5268952687,31.23485,121.533435
"世纪大道",6,17,31.2310224576,121.522523268,31.2289628381,121.5268952687,31.23485,121.533435
"世纪大道",9,2,31.2310224576,121.522523268,31.2289628381,121.5268952687,31.23485,121.533435
"世纪公园",2,14,31.2117314871,121.5464768901,31.2095890718,121.5507523313,31.215933,121.557176
"市光路",8,30,31.3244893992,121.5277000734,31.322441127,121.532045252,31.328516,121.538527
"书院",16,3,30.9616325207,121.8464546654,30.9593556669,121.8506228182,30.965002,121.85722
"水产路",3,25,31.383246856,121.4836401405,31.3813647485,121.4881677093,31.387101,121.494718
"水城路",10,23,31.2011754773,121.3872174242,31.1993264765,121.3918576458,31.205074,121.398444
"四川北路",10,11,31.2539226079,121.4796976313,31.2519920426,121.4842144713,31.257732,121.490774
"四平路",8,22,31.2771283008,121.4971539909,31.2751477126,121.5016010934,31.280779,121.50817
"四平路",10,8,31.2771283008,121.4971539909,31.2751477126,121.5016010934,31.280779,121.50817
"泗泾",9,19,31.1203952942,121.2562255017,31.1183195035,121.2606404177,31.123976,121.267259
"松江大学城",9,22,31.0562272711,121.2282746123,31.0541317876,121.2326895283,31.060041,121.239201
"松江南站",9,26,30.9871726555,121.2267196615,30.9850342426,121.2311292131,30.990955,121.237677
"松江体育中心",9,24,31.0182534406,121.2261832955,31.0161340898,121.2305982115,31.022049,121.237126
"松江新城",9,23,31.032406352,121.2263324033,31.030296639,121.2307473194,31.036209,121.237259
"淞滨路",3,24,31.3728365322,121.4883096809,31.3709221651,121.4927996988,31.376563,121.499387
"淞发路",3,22,31.3471179567,121.4960828867,31.3451617466,121.5005353537,31.350804,121.50714
"淞虹路",2,28,31.2201146437,121.3546018493,31.2182337249,121.3591991556,31.223998,121.365797
"宋园路",10,21,31.1984499753,121.4073062064,31.1966053677,121.4119517924,31.202693,121.418434
"唐镇",2,8,31.2158926466,121.6518769004,31.2137318806,121.6561147906,31.219828,121.662625
"塘桥",4,9,31.2115852896,121.5144457176,31.2095208645,121.5188177183,31.215407,121.525353
"桃浦新村",11,25,31.2835929513,121.3448323703,31.2817271794,121.3494135833,31.287647,121.355937
"提篮桥",12,13,31.2554944328,121.502247976,31.2535042532,121.5066950785,31.259141,121.51328
"天潼路",12,15,31.2462805219,121.4776983657,31.2443451659,121.4822152057,31.250088,121.488783
"天潼路",10,12,31.2462805219,121.4776983657,31.2443451659,121.4822152057,31.250088,121.488783
